OID,Id,gridcode,F_AREA
-1,1,1,25.000000000000000
-1,2,1,50.000000000000000
-1,3,0,75.000000000000000
-1,4,1,25.000000000000000
-1,5,1,16550.000000000000000
-1,6,1,25.000000000000000
-1,7,1,25.000000000000000
-1,8,1,100.000000000000000
-1,9,1,75.000000000000000
-1,10,1,225.000000000000000
-1,11,1,125.000000000000000
-1,12,1,1375.000000000000000
-1,13,1,75.000000000000000
-1,14,1,100.000000000000000
-1,15,1,50.000000000000000
-1,16,1,325.000000000000000
-1,17,1,50.000000000000000
-1,18,1,25.000000000000000
-1,19,1,225.000000000000000
-1,20,1,25.000000000000000
-1,21,1,250.000000000000000
-1,22,0,50.000000000000000
-1,23,1,125.000000000000000
-1,24,0,25.000000000000000
-1,25,0,25.000000000000000
-1,26,0,50.000000000000000
-1,27,1,25.000000000000000
-1,28,1,50.000000000000000
-1,29,1,25.000000000000000
-1,30,0,25.000000000000000
-1,31,1,50.000000000000000
-1,32,0,25.000000000000000
-1,33,0,75.000000000000000
-1,34,0,50.000000000000000
-1,35,1,38800.000000000000000
-1,36,0,1838000.000000000000000
