OID,Id,gridcode,F_AREA
-1,1,1,150.000000000000000
-1,2,1,50.000000000000000
-1,3,1,125.000000000000000
-1,4,1,75.000000000000000
-1,5,1,225.000000000000000
-1,6,1,100.000000000000000
-1,7,1,150.000000000000000
-1,8,1,75.000000000000000
-1,9,1,125.000000000000000
-1,10,1,75.000000000000000
-1,11,1,125.000000000000000
-1,12,1,75.000000000000000
-1,13,1,50.000000000000000
-1,14,1,15150.000000000000000
-1,15,1,100.000000000000000
-1,16,1,50.000000000000000
-1,17,1,100.000000000000000
-1,18,1,25.000000000000000
-1,19,1,225.000000000000000
-1,20,1,25.000000000000000
-1,21,1,25.000000000000000
-1,22,1,50.000000000000000
-1,23,1,25.000000000000000
-1,24,1,50.000000000000000
-1,25,1,50.000000000000000
-1,26,1,50.000000000000000
-1,27,1,1600.000000000000000
-1,28,1,100.000000000000000
-1,29,1,50.000000000000000
-1,30,1,1800.000000000000000
-1,31,0,1876325.000000000000000
