OID,Id,gridcode,F_AREA
-1,1,1,400.000000000000000
-1,2,1,600.000000000000000
-1,3,1,225.000000000000000
-1,4,1,25.000000000000000
-1,5,1,25.000000000000000
-1,6,1,125.000000000000000
-1,7,1,50.000000000000000
-1,8,1,25.000000000000000
-1,9,1,25.000000000000000
-1,10,1,25.000000000000000
-1,11,1,75.000000000000000
-1,12,1,625.000000000000000
-1,13,0,50.000000000000000
-1,14,0,25.000000000000000
-1,15,1,25.000000000000000
-1,16,1,625.000000000000000
-1,17,1,100.000000000000000
-1,18,0,125.000000000000000
-1,19,1,2350.000000000000000
-1,20,0,125.000000000000000
-1,21,0,75.000000000000000
-1,22,0,100.000000000000000
-1,23,0,50.000000000000000
-1,24,1,50.000000000000000
-1,25,0,325.000000000000000
-1,26,1,75.000000000000000
-1,27,0,50.000000000000000
-1,28,0,25.000000000000000
-1,29,0,225.000000000000000
-1,30,0,25.000000000000000
-1,31,0,250.000000000000000
-1,32,1,100.000000000000000
-1,33,1,50.000000000000000
-1,34,1,25.000000000000000
-1,35,1,25.000000000000000
-1,36,1,25.000000000000000
-1,37,0,325.000000000000000
-1,38,1,25.000000000000000
-1,39,1,25.000000000000000
-1,40,0,75.000000000000000
-1,41,1,50.000000000000000
-1,42,1,5550.000000000000000
-1,43,0,25.000000000000000
-1,44,0,50.000000000000000
-1,45,1,775.000000000000000
-1,46,0,25.000000000000000
-1,47,1,100.000000000000000
-1,48,1,50.000000000000000
-1,49,1,25.000000000000000
-1,50,1,25.000000000000000
-1,51,1,550.000000000000000
-1,52,1,425.000000000000000
-1,53,1,25.000000000000000
-1,54,1,14500.000000000000000
-1,55,1,250.000000000000000
-1,56,1,25.000000000000000
-1,57,1,25.000000000000000
-1,58,1,75.000000000000000
-1,59,1,50.000000000000000
-1,60,1,75.000000000000000
-1,61,0,1866950.000000000000000
