OID,Id,ActionType,gridcode,F_AREA
-1,0,Clearing,1,3130.154079009999805
-1,0,Clearing,1,556.911892192999971
-1,0,Clearing,1,408.935546031000001
-1,0,Clearing,1,397.135416974000009
-1,0,Clearing,1,136.990017112000004
-1,0,Clearing,1,157.606336346999996
-1,0,Clearing,1,116.102430517000002
-1,0,Clearing,1,197.753906456000010
-1,0,Clearing,1,154.079861112999993
-1,0,Clearing,1,103.352864675000006
-1,0,Clearing,1,175.238715487000007
-1,0,Clearing,1,39.876302165799999
-1,0,Clearing,1,51.269531357600002
-1,0,Clearing,1,85.449218531200003
-1,0,Clearing,1,104.437933858999997
-1,0,Clearing,1,126.546224223999999
-1,0,Clearing,1,39.876302058699999
-1,0,Clearing,1,53.710937558799998
-1,0,Clearing,1,40.690103929099998
-1,0,Clearing,1,27.669270902200001
-1,0,Clearing,1,56.152343481199999
-1,0,Clearing,1,45.301649306400002
-1,0,Clearing,1,43.809678582799997
-1,0,Clearing,1,22.937162361999999
-1,0,Clearing,1,41.534046966200002
-1,0,Clearing,1,165.849850449999991
-1,0,Clearing,1,281.907069638999985
-1,0,Clearing,1,312.952112035000027
-1,0,Clearing,1,96.780282142600001
-1,0,Clearing,1,2695.531020179999814
-1,0,Clearing,1,47.565978342500003
-1,0,Clearing,1,40423.480187799999840
-1,0,Clearing,1,1804.869852069999979
-1,0,Clearing,1,40595.057486099998641
-1,0,Clearing,1,111.747082261000003
-1,0,Clearing,1,13743.188173399999869
-1,0,Clearing,1,755.690585930999987
-1,0,Clearing,1,1301.601078980000011
-1,0,Clearing,1,23255.148054000001139
-1,0,Clearing,1,211.471859654000014
-1,0,Clearing,1,1108.805337719999898
-1,0,Clearing,1,74.089898136100004
-1,0,Clearing,1,14626.261394099999961
-1,0,Clearing,1,85.991753498300000
-1,0,Clearing,1,88.636610038000001
-1,0,Clearing,1,14888.961226800000077
-1,0,Clearing,1,178.795331965999992
-1,0,Clearing,1,9613.775558990000718
-1,0,Clearing,1,269.097222025000008
-1,0,Clearing,1,36304.554881900003238
-1,0,Clearing,1,1646.724748410000075
-1,0,Clearing,1,195.444366174999999
-1,0,Clearing,1,368.094738926999980
-1,0,Clearing,1,4313.030479349999951
-1,0,Clearing,1,452.338323961000015
-1,0,Clearing,1,410.698784774999979
-1,0,Clearing,1,251.193576166000014
-1,0,Clearing,1,763.210719942999958
-1,0,Clearing,1,294.325086789000011
-1,0,Clearing,1,111.490885516999995
-1,0,Clearing,1,218.234591999999992
-1,0,Clearing,1,131.157769417999987
-1,0,Clearing,1,78.125000024900004
-1,0,Clearing,1,49.913194416700001
-1,0,Clearing,1,59.814452875599997
-1,0,Clearing,1,106.743706666999998
-1,0,Clearing,1,93.722873071999999
-1,0,Clearing,1,267.469618555000011
-1,0,Clearing,1,106.879340021000004
-1,0,Clearing,1,69.986979115200000
-1,0,Clearing,1,41.097004907699997
-1,0,Clearing,1,63.476562430000001
-1,0,Clearing,1,44.894748454999998
-1,0,Clearing,1,35.264757071600002
-1,0,Clearing,1,27.940538315900000
-1,0,Clearing,1,28.483073030800000
-1,0,Clearing,1,39.458906814300001
-1,0,Clearing,1,17.496744951699998
-1,0,Clearing,1,16.852484645200001
-1,0,Clearing,1,15.360514386500000
-1,0,Clearing,1,45.572916542500003
-1,0,Clearing,1,33.467610781300003
-1,0,Clearing,1,32.077365314799998
-1,0,Clearing,1,851.304795902000023
-1,0,Clearing,1,45.437282875500003
-1,0,Clearing,1,31.127929755299999
-1,0,Clearing,1,20.277235303499999
-1,0,Clearing,1,54.456922806999998
-1,0,Clearing,1,52.456325984700001
-1,0,Clearing,1,21.294487920900000
-1,0,Clearing,1,18.513997355000001
-1,0,Clearing,1,21.260579563200000
-1,0,Clearing,1,18.920898330200000
-1,0,Clearing,1,24.990505615699998
-1,0,Clearing,1,106.638213657999998
-1,0,Clearing,1,53.349247562199999
-1,0,Clearing,1,80.295138924000000
-1,0,Clearing,1,21.038290928900000
-1,0,Clearing,1,27.156877176999998
-1,0,Clearing,1,38.293909245400002
-1,0,Clearing,1,43.835110200199999
-1,0,Clearing,1,2589.578510859999824
-1,0,Clearing,1,424.563560210999981
-1,0,Clearing,1,72.624300847300006
-1,0,Clearing,1,33.576871055300003
-1,0,Clearing,0,0.000000000000000
-1,0,Clearing,0,0.000000000000000
-1,0,Clearing,0,0.000000000000000
-1,0,Clearing,0,0.000000000000000
-1,0,Clearing,0,0.000000000000000
-1,0,Clearing,0,0.000000000000000
-1,0,Clearing,0,0.000000000000000
