OID,Id,gridcode,F_AREA
-1,1,0,100.000000000000000
-1,2,0,75.000000000000000
-1,3,1,2700.000000000000000
-1,4,1,25.000000000000000
-1,5,1,1050.000000000000000
-1,6,1,200.000000000000000
-1,7,1,25.000000000000000
-1,8,0,25.000000000000000
-1,9,1,4600.000000000000000
-1,10,1,17450.000000000000000
-1,11,1,50.000000000000000
-1,12,1,150.000000000000000
-1,13,0,475.000000000000000
-1,14,1,50.000000000000000
-1,15,0,25.000000000000000
-1,16,0,25.000000000000000
-1,17,1,47450.000000000000000
-1,18,0,1822725.000000000000000
